State,Year,z1,z2,z3,index
US,2000,0.680596087,0.528807493,0.378992149,0.529465243
US,2001,0.693147692,0.548007355,0.390792695,0.543982581
US,2002,0.692049114,0.549335649,0.40259324,0.547992668
US,2003,0.69352396,0.561315612,0.414393786,0.556411119
US,2004,0.678719867,0.56035629,0.426194331,0.555090163
US,2005,0.6939546,0.553477901,0.437994877,0.561809126
US,2006,0.675405745,0.557600907,0.449795423,0.560934025
US,2007,0.674015437,0.55568732,0.461595968,0.563766242
US,2008,0.669986241,0.554468208,0.473396514,0.565950321
US,2009,0.661928894,0.553500324,0.48519706,0.566875426
US,2010,0.673748675,0.567871382,0.496997605,0.579539221
US,2011,0.674407761,0.575794016,0.508798151,0.586333309
US,2012,0.67317716,0.576849951,0.520598696,0.590208602
US,2013,0.680640707,0.57787543,0.532399242,0.596971793
US,2014,0.685282892,0.575138826,0.544199788,0.601540502
US,2015,0.686174112,0.581593334,0.556000333,0.607922593
US,2016,0.666788544,0.584085061,0.567800879,0.606224828
US,2017,0.677609314,0.587885872,0.579601425,0.615032204
US,2018,0.671570411,0.587182759,0.59140197,0.61671838
AK,2000,-0.174941952,-0.424247324,-0.551168507,-0.383452594
AK,2001,-0.293620349,-0.424775353,-0.548391908,-0.422262537
AK,2002,-0.354821792,-0.470408113,-0.545615309,-0.456948405
AK,2003,-0.252371183,-0.438527822,-0.54283871,-0.411245905
AK,2004,-0.286962368,-0.431648162,-0.540062111,-0.419557547
AK,2005,-0.459405699,-0.498150527,-0.537285512,-0.498280579
AK,2006,-0.271442688,-0.403409668,-0.534508913,-0.403120423
AK,2007,-0.182526042,-0.401329731,-0.531732314,-0.371862696
AK,2008,-0.309076747,-0.458012798,-0.528955715,-0.432015087
AK,2009,-0.198157057,-0.417455457,-0.526179116,-0.38059721
AK,2010,-0.31963148,-0.505145977,-0.523402517,-0.449393325
AK,2011,-0.391847065,-0.508501017,-0.520625918,-0.473658
AK,2012,-0.278697875,-0.505766145,-0.517849319,-0.434104446
AK,2013,-0.427037365,-0.460903666,-0.51507272,-0.46767125
AK,2014,-0.210856275,-0.465423588,-0.512296121,-0.396191995
AK,2015,-0.09717404,-0.456061307,-0.509519522,-0.354251623
AK,2016,-0.136994737,-0.475271824,-0.506742923,-0.373003161
AK,2017,-0.233496272,-0.484286139,-0.503966324,-0.407249578
AK,2018,-0.269629108,-0.479240596,-0.501189725,-0.416686476
AL,2000,-0.925720231,-0.707894591,-1.259201244,-0.964272022
AL,2001,-0.93415399,-0.708959066,-1.234211854,-0.959108303
AL,2002,-0.853331747,-0.68509101,-1.209222463,-0.91588174
AL,2003,-0.928010571,-0.701644516,-1.184233072,-0.93796272
AL,2004,-0.91965073,-0.727138849,-1.159243682,-0.93534442
AL,2005,-0.920749819,-0.727218105,-1.134254291,-0.927407405
AL,2006,-0.940766581,-0.723746526,-1.1092649,-0.924592669
AL,2007,-0.909778241,-0.720335415,-1.084275509,-0.904796388
AL,2008,-0.929149973,-0.734143981,-1.059286119,-0.907526691
AL,2009,-0.892841864,-0.710765016,-1.034296728,-0.879301203
AL,2010,-0.857033859,-0.69568177,-1.009307337,-0.854007655
AL,2011,-0.892663725,-0.697506573,-0.984317946,-0.858162748
AL,2012,-0.891769931,-0.724275816,-0.959328556,-0.858458101
AL,2013,-0.932008251,-0.728018291,-0.934339165,-0.864788569
AL,2014,-0.976647926,-0.740289132,-0.909349774,-0.875428944
AL,2015,-0.960455677,-0.749737149,-0.884360383,-0.86485107
AL,2016,-0.956235389,-0.747400199,-0.859370993,-0.854335527
AL,2017,-0.952790155,-0.764403151,-0.834381602,-0.850524969
AL,2018,-0.987493147,-0.757855707,-0.809392211,-0.851580355
AR,2000,-0.803500511,-0.52636034,-1.46050467,-0.93012184
AR,2001,-0.81297195,-0.523146639,-1.434821129,-0.923646573
AR,2002,-0.803480751,-0.524078837,-1.409137589,-0.912232392
AR,2003,-0.809773678,-0.512200496,-1.383454048,-0.901809407
AR,2004,-0.719854405,-0.473861117,-1.357770508,-0.850495343
AR,2005,-0.72303091,-0.456501876,-1.332086968,-0.837206585
AR,2006,-0.728541932,-0.444743456,-1.306403427,-0.826562938
AR,2007,-0.699683161,-0.463072766,-1.280719887,-0.814491938
AR,2008,-0.765972808,-0.468239879,-1.255036346,-0.829749678
AR,2009,-0.760520948,-0.437683703,-1.229352806,-0.809185819
AR,2010,-0.694184653,-0.455004979,-1.203669265,-0.784286299
AR,2011,-0.74726534,-0.438867391,-1.177985725,-0.788039485
AR,2012,-0.746568655,-0.436240341,-1.152302184,-0.778370393
AR,2013,-0.720246266,-0.431224264,-1.126618644,-0.759363058
AR,2014,-0.699659457,-0.445790335,-1.100935103,-0.748794965
AR,2015,-0.704668526,-0.456061307,-1.075251563,-0.745327132
AR,2016,-0.801661681,-0.446115213,-1.049568022,-0.765781639
AR,2017,-0.760978453,-0.44564931,-1.023884482,-0.743504082
AR,2018,-0.748205134,-0.440810926,-0.998200941,-0.729072334
AZ,2000,0.994875367,1.969735611,1.017609912,1.327406963
AZ,2001,0.987446932,1.990786205,1.028716308,1.335649815
AZ,2002,0.941304092,2.041381784,1.039822704,1.340836193
AZ,2003,1.082016608,2.045293763,1.0509291,1.39274649
AZ,2004,1.09496221,2.03780973,1.062035496,1.398269145
AZ,2005,1.089392417,2.052829323,1.073141892,1.405121211
AZ,2006,1.099855043,2.035283834,1.084248288,1.406462388
AZ,2007,1.191172556,2.088972702,1.095354684,1.458499981
AZ,2008,0.99634057,2.068076175,1.106461079,1.390292608
AZ,2009,0.926570725,2.080732855,1.117567475,1.374957018
AZ,2010,0.771458198,1.911650132,1.128673871,1.270594067
AZ,2011,0.755184642,1.908780571,1.139780267,1.26791516
AZ,2012,0.769978011,1.897840233,1.150886663,1.272901636
AZ,2013,0.729508857,1.873876017,1.161993059,1.255125978
AZ,2014,0.766750089,1.870933532,1.173099455,1.270261025
AZ,2015,0.670187415,1.863977842,1.184205851,1.239457036
AZ,2016,0.697703286,1.866975968,1.195312247,1.2533305
AZ,2017,0.629656389,1.872560444,1.206418642,1.236211825
AZ,2018,0.639665343,1.864969302,1.217525038,1.240719894
CA,2000,3.351969964,2.775293849,1.447982753,2.525082189
CA,2001,3.272593976,2.799616772,1.452147651,2.508119466
CA,2002,3.234449886,2.739101199,1.45631255,2.476621212
CA,2003,3.193389695,2.739921833,1.460477448,2.464596325
CA,2004,3.159524232,2.744876733,1.464642347,2.456347771
CA,2005,3.181917531,2.740032058,1.468807245,2.463585611
CA,2006,3.091501749,2.737958233,1.472972144,2.434144042
CA,2007,3.098189433,2.737274575,1.477137042,2.437533683
CA,2008,3.036055127,2.72260935,1.481301941,2.413322139
CA,2009,3.076785602,2.707808464,1.485466839,2.423353635
CA,2010,3.035062157,2.703877902,1.489631738,2.409523932
CA,2011,2.98462655,2.704593439,1.493796636,2.394338875
CA,2012,2.964130633,2.692420853,1.497961535,2.384837674
CA,2013,2.961154383,2.685113026,1.502126433,2.382797947
CA,2014,2.950070969,2.666080283,1.506291331,2.374147528
CA,2015,2.924311689,2.656902615,1.51045623,2.363890178
CA,2016,2.815363084,2.634766738,1.514621128,2.32158365
CA,2017,2.819506657,2.616319406,1.518786027,2.31820403
CA,2018,2.809209996,2.604740458,1.522950925,2.31230046
CO,2000,0.244097088,1.050718465,0.760774507,0.685196687
CO,2001,0.312289851,1.039863781,0.772575053,0.708242895
CO,2002,0.359709144,1.053840457,0.784375599,0.732641733
CO,2003,0.321922297,1.066499664,0.796176144,0.728199368
CO,2004,0.295776912,1.088018233,0.80797669,0.730590612
CO,2005,0.331469935,1.094910359,0.819777236,0.748719177
CO,2006,0.299931367,1.043272918,0.831577781,0.724927355
CO,2007,0.253825277,1.05992211,0.843378327,0.719041905
CO,2008,0.294678762,1.035141008,0.855178873,0.728332881
CO,2009,0.215345804,1.008635846,0.866979418,0.696987023
CO,2010,0.168916137,1.009112166,0.878779964,0.685602756
CO,2011,0.141280348,0.993595772,0.890580509,0.67515221
CO,2012,0.17303943,0.984072519,0.902381055,0.686497668
CO,2013,0.110512287,0.963707666,0.914181601,0.662800518
CO,2014,0.147599392,0.957987262,0.925982146,0.6771896
CO,2015,0.094666323,0.953582733,0.937782692,0.662010583
CO,2016,0.125780566,0.924245529,0.949583238,0.666536444
CO,2017,0.07020559,0.91629892,0.961383783,0.649296098
CO,2018,0.065374111,0.913834958,0.973184329,0.650797799
CT,2000,0.628216207,0.177084882,0.982902425,0.596067838
CT,2001,0.814329732,0.165452358,0.984984874,0.654922321
CT,2002,0.74190011,0.173640579,0.987067324,0.634202671
CT,2003,0.609069036,0.150853571,0.989149773,0.583024127
CT,2004,0.612121093,0.180439692,0.991232222,0.594597669
CT,2005,0.677478024,0.199464371,0.993314671,0.623419022
CT,2006,0.708055691,0.164929919,0.995397121,0.622794244
CT,2007,0.706337757,0.216100624,0.99747957,0.63997265
CT,2008,0.784210256,0.216974539,0.999562019,0.666915605
CT,2009,0.744629466,0.209620151,1.001644468,0.651964695
CT,2010,0.722603436,0.277053593,1.003726918,0.667794649
CT,2011,0.722873889,0.287311852,1.005809367,0.671998369
CT,2012,0.769978011,0.308678991,1.007891816,0.695516273
CT,2013,0.810955774,0.340440208,1.009974265,0.720456749
CT,2014,0.766750089,0.349356416,1.012056714,0.70938774
CT,2015,0.830054384,0.36623105,1.014139164,0.736808199
CT,2016,0.805904881,0.37998878,1.016221613,0.734038425
CT,2017,0.8374524,0.394701726,1.018304062,0.750152729
CT,2018,0.815143219,0.414249242,1.020386511,0.749926324
DE,2000,-0.262241752,-0.344826089,0.455348621,-0.050573073
DE,2001,-0.189750029,-0.337334211,0.477561412,-0.016507609
DE,2002,-0.271736799,-0.341598375,0.499774204,-0.037853657
DE,2003,-0.286153153,-0.333281145,0.521986996,-0.032482434
DE,2004,-0.07051635,-0.315562534,0.544199788,0.052706968
DE,2005,-0.146350761,-0.321143762,0.566412579,0.032972685
DE,2006,-0.075543012,-0.300075197,0.588625371,0.071002387
DE,2007,-0.214848362,-0.391039225,0.610838163,0.001650192
DE,2008,-0.080628717,-0.284152423,0.633050955,0.089423272
DE,2009,-0.032755913,-0.306200108,0.655263747,0.105435909
DE,2010,-0.173067195,-0.254440986,0.677476538,0.083322786
DE,2011,-0.036428789,-0.249861834,0.69968933,0.137799569
DE,2012,-0.020562272,-0.247527443,0.721902122,0.151270802
DE,2013,-0.133828464,-0.243254713,0.744114914,0.122343912
DE,2014,-0.096802199,-0.249457804,0.766327705,0.140022567
DE,2015,0.030719535,-0.260277413,0.788540497,0.18632754
DE,2016,0.048493712,-0.261456673,0.810753289,0.199263443
DE,2017,0.054221282,-0.252465163,0.832966081,0.211574067
DE,2018,-0.030341094,-0.258269991,0.855178873,0.188855929
FL,2000,1.658353846,1.005334902,1.093966384,1.252551711
FL,2001,1.801097774,1.028933639,1.107155229,1.312395547
FL,2002,1.689069025,1.043106312,1.120344074,1.284173137
FL,2003,1.706983042,1.066499664,1.133532919,1.302338542
FL,2004,1.677701491,1.088018233,1.146721765,1.304147163
FL,2005,1.715502294,1.105322521,1.15991061,1.326911808
FL,2006,1.73652899,1.1052736,1.173099455,1.338300682
FL,2007,1.692168515,1.131955651,1.1862883,1.336804155
FL,2008,1.681684661,1.127184736,1.199477145,1.336115514
FL,2009,1.720496218,1.140119442,1.21266599,1.35776055
FL,2010,1.764838353,1.189619759,1.225854835,1.393437649
FL,2011,1.724507211,1.182601328,1.23904368,1.38205074
FL,2012,1.737986521,1.202582189,1.252232526,1.397600412
FL,2013,1.739450628,1.220929157,1.265421371,1.408600385
FL,2014,1.793236771,1.242669432,1.278610216,1.43817214
FL,2015,1.773269506,1.25704777,1.291799061,1.440705446
FL,2016,1.795176612,1.274124867,1.304987906,1.458096462
FL,2017,1.844463837,1.31232642,1.318176751,1.491655669
FL,2018,1.868010477,1.336561333,1.331365596,1.511979135
GA,2000,-0.035262272,-0.288096636,-0.134678661,-0.15267919
GA,2001,-0.068567989,-0.29361364,-0.11038342,-0.157521683
GA,2002,0.010752176,-0.255725216,-0.086088179,-0.11035374
GA,2003,0.017884572,-0.238559135,-0.061792938,-0.094155834
GA,2004,0.079330894,-0.231136623,-0.037497697,-0.063101142
GA,2005,0.133751026,-0.217022135,-0.013202456,-0.032157855
GA,2006,0.136681637,-0.207074174,0.011092785,-0.019766584
GA,2007,0.092213678,-0.195519613,0.035388026,-0.022639303
GA,2008,0.16413703,-0.192108695,0.059683267,0.010570534
GA,2009,0.149185346,-0.194944758,0.083978508,0.012739699
GA,2010,0.152631216,-0.194271789,0.108273749,0.022211059
GA,2011,0.125124972,-0.190175869,0.13256899,0.022506031
GA,2012,0.108505529,-0.197866155,0.156864231,0.022501202
GA,2013,0.126801671,-0.21357531,0.181159472,0.031461944
GA,2014,0.115012513,-0.229824551,0.205454713,0.030214225
GA,2015,0.142626414,-0.230909828,0.229749954,0.047155513
GA,2016,0.125780566,-0.242018932,0.254045195,0.04593561
GA,2017,0.118158516,-0.233146749,0.278340436,0.054450734
GA,2018,0.097279179,-0.239055156,0.302635677,0.0536199
HI,2000,1.955173166,-0.061178822,1.246679328,1.046891224
HI,2001,1.783786054,-0.107801212,1.249455927,0.975146923
HI,2002,1.838622011,-0.116181333,1.252232526,0.991557735
HI,2003,1.690092057,-0.112263122,1.255009124,0.944279353
HI,2004,1.860848121,-0.104497757,1.257785723,1.004712029
HI,2005,1.633119415,-0.102488346,1.260562322,0.930397797
HI,2006,1.475329422,-0.165740386,1.263338921,0.857642652
HI,2007,1.482073436,-0.174938601,1.26611552,0.857750118
HI,2008,1.649049228,-0.161427453,1.268892119,0.918837965
HI,2009,1.571635188,-0.134260021,1.271668718,0.903014628
HI,2010,1.618274068,-0.184243589,1.274445317,0.902825265
HI,2011,1.676041082,-0.180228208,1.277221916,0.92434493
HI,2012,1.592785244,-0.168069381,1.279998515,0.901571459
HI,2013,1.46253111,-0.134430236,1.282775114,0.870291996
HI,2014,1.418487665,-0.141474912,1.285551713,0.854188155
HI,2015,1.453535567,-0.123228687,1.288328312,0.872878397
HI,2016,1.640602904,-0.135111357,1.291104911,0.932198819
HI,2017,1.492809049,-0.146213883,1.29388151,0.880158892
HI,2018,1.517054724,-0.14298098,1.296658109,0.890243951
IA,2000,-0.733660671,-0.583089794,-0.863535891,-0.726762119
IA,2001,-0.76103679,-0.56686721,-0.843405548,-0.723769849
IA,2002,-0.720395759,-0.577749561,-0.823275206,-0.707140175
IA,2003,-0.759100724,-0.575348503,-0.803144863,-0.712531363
IA,2004,-0.819752567,-0.558287028,-0.783014521,-0.720351372
IA,2005,-0.788937213,-0.581447828,-0.762884178,-0.71108974
IA,2006,-0.728541932,-0.558411373,-0.742753836,-0.676569047
IA,2007,-0.748166641,-0.586558838,-0.722623493,-0.685782991
IA,2008,-0.765972808,-0.60119193,-0.702493151,-0.689885963
IA,2009,-0.793601177,-0.599509666,-0.682362808,-0.69182455
IA,2010,-0.694184653,-0.575343374,-0.662232466,-0.643920164
IA,2011,-0.74726534,-0.588082303,-0.642102123,-0.659149922
IA,2012,-0.746568655,-0.585224207,-0.62197178,-0.651254881
IA,2013,-0.638799349,-0.579621277,-0.601841438,-0.606754021
IA,2014,-0.683366017,-0.583223107,-0.581711095,-0.616100073
IA,2015,-0.752628617,-0.593110033,-0.561580753,-0.635773134
IA,2016,-0.678002715,-0.59189827,-0.54145041,-0.603783798
IA,2017,-0.729009836,-0.590537419,-0.521320068,-0.613622441
IA,2018,-0.604632326,-0.58492219,-0.501189725,-0.563581414
ID,2000,-0.401921432,-0.01579526,-0.495636527,-0.304451073
