State,Year,z1,z2,z3,z4,z5,index
US,2000,0.353156209,0.247737825,0.10905708,0.296985078,0.613033829,0.323994004
US,2001,0.325681981,0.239772652,0.080781272,0.268526387,0.684565694,0.319865597
US,2002,0.354292119,0.252355856,0.076277396,0.20497341,0.663568221,0.3102934
US,2003,0.484397743,0.256333548,0.092936537,0.199707409,0.628460899,0.332367227
US,2004,0.351282986,0.250892097,0.095550427,0.226743092,0.790506306,0.342994982
US,2005,0.400228972,0.247787406,0.148291762,0.343176552,1.139810055,0.455858949
US,2006,0.388956983,0.256082091,0.135255385,0.271097294,0.639761989,0.338230748
US,2007,0.411865249,0.252482553,0.138298787,0.209218416,0.981398508,0.398652703
US,2008,0.252065402,0.240867925,0.157799334,0.348148957,0.893189492,0.378414222
US,2009,0.252945892,0.240497764,0.174084541,0.316667759,1.002860971,0.397411385
US,2010,0.233342974,0.235093079,0.218826293,0.318907672,0.918181387,0.384870281
US,2011,0.47069942,0.246156393,0.24753609,0.346773907,1.119176589,0.48606848
US,2012,0.508948714,0.238317316,0.23920426,0.362007848,1.114374293,0.492570486
US,2013,0.498066045,0.243557134,0.211048144,0.371479519,0.843229072,0.433475983
US,2014,0.52231454,0.236246381,0.214931242,0.372613818,1.353392902,0.539899777
US,2015,0.526202218,0.241166997,0.214354659,0.373818194,0.844496633,0.44000774
US,2016,0.558321019,0.23388699,0.202766268,0.366873577,0.788154479,0.430000467
US,2017,0.549937047,0.238614492,0.146574137,0.325748228,0.74522352,0.401219485
US,2018,0.560751611,0.2324916,0.120987513,0.297601113,0.690881316,0.380542631
AK,2000,-1.471031439,-0.679574402,-0.813983483,1.716383508,-1.908314985,-0.63130416
AK,2001,-1.498232481,-0.665658353,-1.419379637,1.368637868,-2.618001235,-0.966526768
AK,2002,-1.422566279,-0.688597335,-1.235257945,1.587854552,-2.720629705,-0.895839342
AK,2003,-1.536861929,-0.673720788,-0.656607438,1.109089359,-1.915309405,-0.73468204
AK,2004,-1.593228478,-0.706948194,-1.462954506,0.93648496,-2.609623226,-1.087253889
AK,2005,-1.585772089,-0.709100255,-0.894864079,0.360748845,-1.38759485,-0.843316486
AK,2006,-1.225348621,-0.708233456,-0.894658016,0.365518498,-1.33768416,-0.760081151
AK,2007,-1.256510779,-0.680144359,-1.216296619,0.317682347,-2.082968262,-0.983647534
AK,2008,-1.299440605,-0.673804559,-1.678928052,0.187266284,-2.649795494,-1.222940485
AK,2009,-1.249491754,-0.694817631,-1.728410799,0.134181254,-2.541905036,-1.216088793
AK,2010,-1.323261425,-0.747326723,-1.572307439,0.15845278,-1.77303992,-1.051496545
AK,2011,-1.569191295,-0.750190913,-1.530849282,0.376373019,-2.238353178,-1.14244233
AK,2012,-1.190014629,-0.740331194,-1.313858085,0.556178578,-1.876840915,-0.912973249
AK,2013,-1.079658694,-0.736249047,-1.7600373,0.596608332,-2.698333029,-1.135533948
AK,2014,-1.128121738,-0.742370723,-0.945140406,0.743048609,-2.173331667,-0.849183185
AK,2015,-1.034443046,-0.746999314,-0.902113862,0.834530835,-1.847336384,-0.739272354
AK,2016,-1.232299166,-0.761879678,-1.20187687,1.072473083,-2.914097483,-1.007536023
AK,2017,-0.807165666,-0.778994036,-0.784689822,0.905277053,-2.295288442,-0.752172183
AK,2018,-1.636155308,-0.775727067,-0.710122626,0.79406652,-2.019499231,-0.869487542
AL,2000,1.530796336,1.691394361,1.33977783,-0.781039047,0.613033829,0.878792662
AL,2001,1.176842063,1.704739671,1.692894488,-0.84186651,1.15636097,0.977794136
AL,2002,1.28026058,1.674240678,1.432271562,-0.920082435,1.147025067,0.92274309
AL,2003,1.557412136,1.677540175,1.283388731,-0.782425097,1.137214959,0.974626181
AL,2004,1.492063045,1.666829918,1.171138338,-0.654315779,0.790506306,0.893244366
AL,2005,1.503562894,1.651916038,1.387039322,-0.394859767,1.139810055,1.057493708
AL,2006,1.510762573,1.650146957,1.356780581,-0.37636239,1.134123527,1.05509025
AL,2007,1.505882317,1.662020954,1.422828914,-0.333101239,0.981398508,1.047805891
AL,2008,1.655808931,1.655419557,1.197000355,-0.295381735,0.893189492,1.02120732
AL,2009,1.72947944,1.643470858,1.324976784,-0.282930758,1.002860971,1.083571459
AL,2010,1.739734328,1.671749994,1.366988941,-0.104109769,0.918181387,1.118508976
AL,2011,1.416735694,1.651530489,1.279438713,0.021183678,0.639529479,1.001683611
AL,2012,1.326968101,1.648413017,1.229562857,0.006028176,0.615838425,0.965362115
AL,2013,1.034492456,1.655320879,1.229811407,0.007809898,0.843229072,0.954132742
AL,2014,1.281515227,1.656819597,1.398677821,-0.127473148,0.849575106,1.011822921
