,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LOCATION,homicide_crime_rate_2000,homicide_crime_rate_2001,homicide_crime_rate_2002,homicide_crime_rate_2003,homicide_crime_rate_2004,homicide_crime_rate_2005,homicide_crime_rate_2006,homicide_crime_rate_2007,homicide_crime_rate_2008,homicide_crime_rate_2009,homicide_crime_rate_2010,homicide_crime_rate_2011,homicide_crime_rate_2012,homicide_crime_rate_2013,homicide_crime_rate_2014,homicide_crime_rate_2015,homicide_crime_rate_2016,homicide_crime_rate_2017,homicide_crime_rate_2018
US,5.5,5.6,5.6,5.7,5.5,5.6,5.8,5.7,5.4,5,4.8,4.7,4.7,4.5,4.4,4.9,5.4,5.3,5
AL,7.4,8.5,6.8,6.6,5.6,8.2,8.3,8.9,7.5,6.8,5.7,6.2,7.1,7.2,5.7,7.2,8.4,8.6,7.8
AK,4.3,6.2,5.1,6,5.6,4.8,5.4,6.3,3.9,3.1,4.3,4.1,4.1,4.6,5.6,8,7,8.4,6.4
AZ,7,7.5,7.1,7.9,7.2,7.5,8.6,8.6,7.1,5.8,6.4,6.1,5.5,5.4,4.6,4.5,5.6,6,5.4
AR,6.3,5.5,5.2,6.6,6.4,6.8,7.3,7,5.8,6.2,4.6,5.4,5.9,5.3,5.9,6.3,7.3,8.3,7.4
CA,6.1,6.4,6.8,6.8,6.7,6.9,6.8,6.2,5.8,5.3,4.8,4.8,5,4.5,4.4,4.8,4.9,4.6,4.4
CO,3.1,3.6,4,4.1,4.4,3.7,3.6,3.2,3.3,3.2,2.6,3,2.9,3.3,2.8,3.2,3.4,4,3.8
CT,2.9,3.1,2.4,3.2,2.9,3,3.9,3.2,3.8,3,3.7,3.6,3.3,2.5,2.5,3.2,2.2,2.9,2.4
DE,3.2,2.9,3.2,2.6,3.4,4.4,4.9,4.5,6.5,4.6,5.7,5.3,6.1,4.4,5.3,6.6,6.1,5.3,4.8
FL,5.6,5.3,5.5,5.4,5.4,5,6.2,6.6,6.4,5.5,5.2,5.2,5.2,5,4.9,5.1,5.4,5,5.2
GA,8,7.1,7.1,7.6,6.9,6.2,6.5,7.5,6.6,5.8,5.7,5.6,5.9,5.6,6,6.1,6.6,6.5,6.2
HI,2.9,2.6,1.9,1.8,2.6,1.9,1.6,1.9,2,1.8,1.8,1.5,1.5,2.3,1.4,1.3,2.4,2.7,2.8
ID,1.2,2.3,2.7,1.9,2.2,2.4,2.4,3.3,1.5,1.6,1.4,2.2,1.9,1.8,2,1.9,2.9,2.4,1.9
IL,7.2,7.8,7.6,7.1,6.1,6,6.1,5.9,6.1,6,5.5,6.1,6,5.6,5.4,5.9,8.3,7.7,7.1
IN,5.8,6.7,5.9,5.5,5.1,5.7,5.7,5.5,5,4.9,4.1,4.7,4.7,5.4,5,5.6,6.5,6.2,6.2
IA,1.6,1.7,1.5,1.7,1.5,1.3,1.8,1.3,2.6,1.3,1.2,1.4,1.6,1.3,1.9,2.3,2.3,3.1,2.2
