,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LOCATION,property_crime_rate_2000,property_crime_rate_2001,property_crime_rate_2002,property_crime_rate_2003,property_crime_rate_2004,property_crime_rate_2005,property_crime_rate_2006,property_crime_rate_2007,property_crime_rate_2008,property_crime_rate_2009,property_crime_rate_2010,property_crime_rate_2011,property_crime_rate_2012,property_crime_rate_2013,property_crime_rate_2014,property_crime_rate_2015,property_crime_rate_2016,property_crime_rate_2017,property_crime_rate_2018
US,3618.3,3658.1,3630.6,3591.2,3514.1,3431.5,3346.6,3276.4,3214.6,3041.3,2945.9,2905.4,2868,2733.6,2574.1,2500.5,2451.6,2362.9,2209.8
AL,4059.7,3876.8,4027.8,4046.4,4029.3,3900.2,3941,3977.7,4084.5,3780.4,3528,3605.4,3505.5,3347.9,3179.4,2982.9,2947.4,2949.1,2837.8
AK,3682.5,3655.1,3759.7,3761.6,3370.9,3614.8,3578.1,3379.2,2927.3,2940.4,2836.8,2637.8,2743.6,2877,2758.9,2820.4,3354.7,3542,3311.6
AZ,5297.8,5537.5,5849.8,5634,5073.3,4826.9,4774.1,4532.6,4102.2,3589,3536.5,3554.7,3536.8,3365.4,3171.5,3039,3000.8,2908.3,2692.5
AR,3670,3677.8,3738.4,3632.4,4033.1,4067.9,3985.4,3955.5,3865,3775,3553.5,3757.9,3708.3,3598.7,3352.1,3270.5,3282.6,3144.2,2963
CA,3118.2,3278,3361.2,3426.4,3423.9,3320.6,3181.7,3043.5,2941,2731,2629.9,2584.2,2761.8,2651.2,2441.7,2628.4,2550,2505.3,2386.2
CO,3648.6,3856.6,4000.3,3951.6,3918.5,4041.1,3438.4,2999.2,2821,2670.7,2674.5,2595.3,2685.3,2655,2535.5,2643.6,2751.2,2707.2,2711
CT,2908,2774.7,2701.3,2666.5,2684.9,2578.6,2586.1,2470.6,2490.8,2348.4,2188.8,2152.5,2148.5,1980.2,1928.5,1830.3,1808.3,1780.9,1661.9
DE,3793.6,3439.5,3346,3415.3,3283.6,3117.9,3476.4,3378.5,3594.7,3353.8,3453.9,3431.5,3348.4,3134.4,2982.5,2705.8,2767.9,2448.1,2320.6
FL,4882.7,4779.2,4656.4,4457.3,4182.5,4012.8,3986.2,4088.8,4140.5,3840.8,3551.4,3517.4,3276.2,3097.8,2932.7,2816.9,2681,2512.9,2287.8
GA,4246.4,4138.5,4056.2,4259.7,4223.5,4144.9,3873.5,3889.6,4005,3672.6,3639.2,3640.6,3423.6,3399.9,3358.8,3098.3,2979.6,2858.4,2642.9
HI,4955.1,5120.5,5801.4,5274.6,4795.5,4799.8,4219.9,4119.3,3566.5,3668.7,3349.6,3183.6,3123.5,3212.7,3240.4,3170.5,2964.5,2836.1,2888
ID,2933.7,2891.2,2913.2,2929.1,2781,2697.4,2395.9,2275.8,2096.1,2019.7,2000.9,2075.8,1994.6,1874.3,1862,1749.2,1747.4,1661.3,1475.1
IL,3585.4,3471.6,3420.2,3287.9,3174.1,3091.7,3019.6,2935.8,2932.6,2736.9,2718.1,2678.7,2585.5,2296.6,2093.2,2001.4,2051,1995.2,1938.8
IN,3402.8,3452.9,3394,3355.7,3403.6,3459.6,3449.5,3370.8,3350.3,3112.3,3070.2,3161.5,3028.5,2853.1,2651,2599.2,2539.3,2386.3,2194.7
IA,2967.3,3023,3163.6,2976,2904.8,2845,2823.6,2648.3,2440.4,2329.9,2253.6,2351.2,2288,2198.2,2093.6,2072,2104.5,2088.4,1811.1
KS,4019.4,3905.7,3716,4010.4,4015.5,3805.7,3772,3709,3386.1,3225.9,3116.6,3088.6,3156.1,2959.6,2757.2,2754.3,2830.1,2727.4,2660.2
KY,2665.2,2638.5,2655.1,2510.1,2540.2,2531,2601.7,2546,2681.8,2524.6,2557.3,2725.9,2575.5,2374,2264.2,2204.6,2202.7,2153.2,2000.3
LA,4741.7,4646,4442.1,4310.5,4419.1,3696.4,4080.8,4204.7,3880.9,3842.7,3644.8,3683.9,3534.7,3578.9,3467.2,3377.8,3297.2,3367.1,3283.4
ME,2510.2,2581.1,2547.3,2450.2,2413.7,2419.1,2546.8,2448.3,2463.7,2405.1,2478.6,2546.3,2514,2292,1986.6,1832.4,1646.9,1508.7,1359.2
MD,4029.5,4075.5,3983.2,3799.1,3640.7,3550.9,3481,3431.5,3517.6,3198.5,2995.5,2857.2,2758.1,2659.1,2516.8,2377.8,2319,2235.8,2036.9
MA,2550,2610.1,2612.2,2562.8,2468.2,2358.4,2391.5,2399.2,2399.5,2323.1,2356.8,2252.6,2156.8,2046.2,1857.6,1688.4,1559.7,1427.6,1273.6
MI,3554.9,3521.3,3336.2,3278.6,3066.1,3097.7,3225.1,3063.5,2950,2848.8,2748.8,2544.6,2522.1,2325,2044,1927.8,1915.2,1802.6,1664.5
MN,3207.6,3311.2,3264.3,3113.3,3041.6,3087.8,3082.5,3044.8,2864.1,2644.9,2569,2546.8,2568.1,2419.6,2297.5,2225,2130.7,2198.8,2001.1
MS,3643.5,3832.8,3822.6,3707.3,3481.1,3274.2,3190.2,3113.9,2909.1,2958.2,2983,3016.3,2810.5,2725.3,2902.6,2869.6,2764.1,2768.3,2405.3
MO,4037.7,4229.2,4065.9,4083.9,3900.1,3929.3,3834,3829.5,3662.7,3370,3350,3313.1,3316.7,3137.4,2909.6,2860.1,2801.8,2838.3,2657.8
MT,3568.9,3332.8,3158.2,3096.2,2936.1,3146,2856.8,2906.2,2718.5,2546.3,2564.1,2394.1,2595.9,2581.1,2494.5,2642.8,2710.8,2591.8,2525.5
NE,3767.9,4009.4,3946.5,3751.9,3519.6,3432.4,3359.7,3142.4,2879.3,2768,2667.9,2762.6,2759.7,2632.3,2524,2249.3,2264.5,2287.1,2087.3
NV,3744.4,3693.8,3870.7,4287.2,4210,4245.9,4100.9,3785.7,3461.5,3063.7,2773.5,2576.3,2814.1,2836.4,2627.4,2674.9,2583,2634.9,2444.3
NH,2257.8,2151,2059.8,2052.9,2051.9,1838.9,1981.9,2005.9,2157.4,2173.5,2219.8,2485.6,2426.9,2299.2,1965.2,1763.2,1522.3,1374.3,1270.9
NJ,2776.6,2826.3,2655.5,2549.6,2433,2337,2278.9,2214.4,2293.4,2075.8,2080.1,2147.4,2046.5,1881.1,1733.4,1630.6,1537.2,1576,1408.4
NM,4761,4538.4,4345.3,4089.1,4198.4,4131.7,3888.3,3815.8,3815.7,3714,3425.9,3538.3,3604.2,3783.5,3542.3,3711.5,3928.7,3910.6,3379.4
NY,2545.7,2399.9,2310.5,2249,2192.5,2101.9,2064.5,1987.9,1993.8,1932,1957.8,1906.7,1917,1820.7,1717.1,1606.4,1538.7,1497.6,1441.6
NC,4421.8,4433,4258.6,4270.9,4160.5,4080.2,4116.2,4082.2,4041.9,3663.9,3443.5,3500.2,3370.8,3103.2,2872.1,2749.5,2734.8,2584.8,2343.8
ND,2206.6,2330.4,2328.7,2109.9,1963.4,2024.6,2100.9,2000.3,2031.1,1980.8,1780.2,1947.3,2038.5,2121.4,2142.7,2340.8,2309.7,2205.2,2060.6
OH,3707.7,3820.2,3760.1,3650.1,3662.3,3667.7,3688.2,3468.1,3410,3261.3,3266.1,3297.6,3206.4,2924.4,2781,2617.3,2589.3,2405.3,2208.3
OK,4060.8,4083.5,4244.7,4312.3,4242.1,4047.1,3624.5,3558.3,3474,3589.6,3443,3372.4,3432.3,3280.9,3027.2,2918.9,3009.5,2888.9,2903.3
OR,4494.7,4736.6,4577.5,4765.6,4635.4,4402.4,3725.1,3543,3302.6,3000.3,3039.3,3150.5,3241.6,3184.3,3100.9,2975.5,2978.9,2954.8,2926.9
PA,2575.3,2547.4,2440.4,2430.2,2417.3,2421.9,2448.3,2363.5,2412.3,2199,2173.1,2224.1,2166.7,2059.1,1930.5,1813.2,1739.2,1644.3,1489.2
RI,3178.7,3373,3308.2,2995.2,2886,2728,2614.6,2606.8,2845,2616.6,2561.4,2662.7,2574.4,2443.7,2178.6,1898.2,1788.1,1759.1,1665.4
SC,4518.7,4580.2,4479,4521.7,4536.9,4370.4,4274.5,4294.8,4240.1,3909.2,3905.4,3921,3833,3630.8,3484.7,3326.6,3256.9,3193.8,3074.8
SD,2153,2172.3,2103,2003.4,1931.6,1767.2,1766.4,1736.8,1724.3,1769.9,1859.9,1857.6,2077.3,1924.8,1879.3,1951.1,1997.2,1899.5,1728.8
TN,4183,4400.3,4307.6,4389.3,4326.8,4299.9,4137.6,4098.6,4040.1,3766.6,3662.7,3607.9,3376.1,3196.5,3068.4,2972.6,2875.4,2951.8,2848.6
TX,4410.4,4570,4620.1,4599.9,4497.7,4319,4083.1,4122.3,3986.8,4015.3,3766.8,3483.2,3363.1,3253.2,3015.4,2840.8,2759,2553.2,2379.2
UT,4220.3,3993.2,4210.9,4255.1,4038.6,3836.7,3512.5,3518.7,3375.7,3295,3182,2987.7,3022.3,3043.1,2902.8,3002.6,2974.8,2777.9,2419.3
VT,2873.4,2664.7,2424,2228.7,2343.6,2369.7,2391.4,2366.5,2559.8,2414.1,2262.3,2407.6,2500.7,2214.5,1551,1447.7,1556.9,1495.4,1315.1
VA,2746.4,2883.3,2851.1,2721.5,2678.2,2649.3,2489.3,2486.5,2532.2,2461.4,2335.5,2256.8,2179.6,2074.4,1944.4,1885.9,1869.3,1801.7,1681.3
WA,4736,4792.5,4762.9,4755,4846.7,4889.8,4510.1,4047,3806.3,3679.6,3699.1,3579.1,3689.1,3715.9,3698.9,3484.1,3502.2,3167.6,2967.3
WV,2286.3,2281.3,2277.1,2339,2555.8,2632.6,2636.3,2517.6,2533.6,2539.6,2227.2,2103,2396.8,2154.1,2070.7,2101.7,2038.8,1791.9,1545.6
WI,2972.3,3087.8,3028.6,2880.4,2665.7,2669.4,2821,2843.9,2762.2,2611.8,2508.6,2450.4,2459.2,2188.7,2092.8,1979.4,1938.6,1811.2,1571.1
WY,3031.5,3264.8,3306.5,3315.6,3338.5,3158.4,2986.6,2879.1,2725,2616.9,2456.6,2269.8,2293,2196.2,1964.2,1901.1,1959.3,1818.5,1784.6
