,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
LOCATION,Gini_total_2000,Gini_total_2001,Gini_total_2002,Gini_total_2003,Gini_total_2004,Gini_total_2005,Gini_total_2006,Gini_total_2007,Gini_total_2008,Gini_total_2009,Gini_total_2010,Gini_total_2011,Gini_total_2012,Gini_total_2013,Gini_total_2014,Gini_total_2015,Gini_total_2016,Gini_total_2017,Gini_total_2018,
US,0.45,0.45,0.45,0.45,0.46,0.47,0.46,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.49,0.48,0.48,0.48,0.48,
AL,0.45,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.49,
AK,0.40,0.38,0.38,0.40,0.39,0.42,0.42,0.41,0.4,0.4,0.42,0.41,0.42,0.41,0.42,0.43,0.41,0.42,0.43,
AZ,0.45,0.43,0.44,0.45,0.46,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.46,
AR,0.44,0.44,0.44,0.44,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.47,0.46,0.47,0.47,0.48,0.47,0.47,0.48,
CA,0.47,0.47,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.49,
CO,0.43,0.42,0.43,0.44,0.44,0.44,0.45,0.45,0.46,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,
CT,0.47,0.46,0.46,0.47,0.47,0.48,0.48,0.48,0.49,0.48,0.49,0.49,0.49,0.5,0.5,0.49,0.49,0.49,0.5,
DE,0.42,0.41,0.41,0.42,0.44,0.43,0.43,0.44,0.45,0.43,0.44,0.44,0.44,0.45,0.45,0.45,0.45,0.48,0.46,
FL,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.49, 
GA,0.45,0.44,0.45,0.45,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48, 
HI,0.43,0.43,0.43,0.43,0.44,0.42,0.44,0.42,0.43,0.43,0.43,0.43,0.43,0.44,0.43,0.43,0.44,0.45,0.45, 
ID,0.40,0.41,0.43,0.42,0.42,0.42,0.42,0.44,0.42,0.42,0.43,0.43,0.43,0.44,0.45,0.45,0.45,0.45,0.45, 
IL,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.49, 
IN,0.41,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.44,0.43,0.44,0.45,0.44,0.46,0.45,0.45,0.45,0.45,0.45, 
IA,0.42,0.41,0.41,0.41,0.41,0.42,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.45,0.44,0.44, 
KS,0.42,0.44,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.44,0.45,0.46,0.46,0.46,0.46,0.45,0.46, 
KY,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.46,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48, 
LA,0.48,0.46,0.46,0.47,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.48,0.49,0.49,0.49,0.49,0.5,0.49,0.49, 
ME,0.43,0.43,0.42,0.41,0.44,0.44,0.43,0.44,0.44,0.43,0.44,0.45,0.45,0.45,0.46,0.45,0.45,0.45,0.45, 
MD,0.43,0.43,0.43,0.43,0.44,0.44,0.43,0.44,0.44,0.45,0.44,0.45,0.45,0.46,0.45,0.45,0.45,0.45,0.45, 
MA,0.46,0.46,0.45,0.45,0.47,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.49,0.48,0.48,0.49,0.49, 
MI,0.44,0.43,0.42,0.43,0.44,0.45,0.44,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47, 
MN,0.42,0.41,0.41,0.42,0.42,0.43,0.43,0.44,0.45,0.44,0.44,0.44,0.44,0.45,0.45,0.45,0.45,0.45,0.45, 
MS,0.45,0.45,0.45,0.46,0.48,0.47,0.47,0.48,0.48,0.47,0.47,0.47,0.49,0.48,0.48,0.48,0.48,0.48,0.48, 
MO,0.44,0.43,0.43,0.43,0.44,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47, 
MT,0.45,0.42,0.43,0.42,0.43,0.44,0.43,0.44,0.45,0.43,0.44,0.44,0.45,0.46,0.45,0.46,0.47,0.45,0.45, 
NE,0.43,0.42,0.42,0.43,0.42,0.43,0.43,0.43,0.43,0.44,0.43,0.45,0.43,0.44,0.44,0.45,0.45,0.44,0.45, 
NV,0.43,0.44,0.43,0.43,0.44,0.44,0.43,0.44,0.43,0.43,0.45,0.45,0.45,0.45,0.44,0.45,0.46,0.46,0.47, 
NH,0.40,0.40,0.41,0.42,0.42,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.44,0.45, 
NJ,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.47,0.46,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48, 
NM,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.46,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.49, 
NY,0.48,0.49,0.49,0.49,0.49,0.50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.52,0.51, 
NC,0.45,0.44,0.45,0.45,0.46,0.46,0.46,0.47,0.46,0.46,0.46,0.47,0.47,0.48,0.47,0.48,0.48,0.48,0.48, 
ND,0.43,0.43,0.44,0.43,0.42,0.43,0.43,0.44,0.45,0.45,0.43,0.44,0.46,0.46,0.47,0.47,0.45,0.45,0.44, 
OH,0.43,0.42,0.44,0.43,0.44,0.44,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.47,0.46,0.46,0.47,0.46,0.47, 
OK,0.44,0.45,0.44,0.44,0.45,0.46,0.46,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.47,0.47,0.46,0.47,0.47, 
OR,0.44,0.44,0.44,0.45,0.44,0.45,0.44,0.44,0.45,0.44,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46, 
PA,0.44,0.44,0.44,0.44,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.48,0.47, 
RI,0.44,0.45,0.44,0.44,0.44,0.45,0.44,0.46,0.46,0.46,0.47,0.47,0.46,0.48,0.48,0.47,0.48,0.47,0.47, 
SC,0.45,0.45,0.46,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.48,0.48, 
SD,0.44,0.44,0.43,0.41,0.43,0.44,0.44,0.42,0.45,0.45,0.44,0.43,0.43,0.44,0.45,0.44,0.45,0.45,0.44, 
TN,0.45,0.45,0.46,0.44,0.45,0.46,0.47,0.47,0.47,0.47,0.47,0.48,0.47,0.48,0.48,0.48,0.48,0.48,0.48, 
TX,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48, 
UT,0.39,0.39,0.39,0.40,0.40,0.41,0.41,0.41,0.41,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.42,0.43, 
VT,0.42,0.42,0.40,0.41,0.43,0.44,0.42,0.43,0.43,0.43,0.44,0.43,0.44,0.45,0.44,0.45,0.45,0.45,0.45, 
VA,0.43,0.44,0.44,0.44,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.48, 
WA,0.44,0.42,0.42,0.44,0.44,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.46,0.45,0.46,0.46,0.46,0.46, 
WV,0.44,0.45,0.44,0.45,0.44,0.45,0.45,0.45,0.45,0.46,0.45,0.47,0.46,0.46,0.45,0.46,0.47,0.47,0.47, 
WI,0.41,0.41,0.41,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.45, 
WY,0.42,0.42,0.43,0.41,0.42,0.41,0.41,0.44,0.44,0.42,0.42,0.41,0.42,0.42,0.43,0.44,0.44,0.43,0.46, 

