,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LOCATION,violent_crime_rate_2000,violent_crime_rate_2001,violent_crime_rate_2002,violent_crime_rate_2003,violent_crime_rate_2004,violent_crime_rate_2005,violent_crime_rate_2006,violent_crime_rate_2007,violent_crime_rate_2008,violent_crime_rate_2009,violent_crime_rate_2010,violent_crime_rate_2011,violent_crime_rate_2012,violent_crime_rate_2013,violent_crime_rate_2014,violent_crime_rate_2015,violent_crime_rate_2016,violent_crime_rate_2017,violent_crime_rate_2018
US,506.5,504.5,494.4,475.8,463.2,469,479.3,471.8,458.6,431.9,404.5,387.1,387.8,369.1,361.6,373.7,397.5,394.9,383.4
AL,486.2,438.2,445,429.2,427,432.6,425.2,448.9,452.8,450.1,383.7,419.8,450.3,431,427.7,473,532.4,522.4,523.1
AK,566.9,589.5,565.4,598,632.3,632.3,688,661.3,652.1,633.4,635.3,610.1,604.1,638.7,635.5,730.8,804.6,856.7,891.7
AZ,531.7,540.3,554.5,513.3,504.4,512,542.6,518,485.6,426.5,413.6,414.2,428.6,415.6,392.7,410.2,471,505.7,475.7
AR,445.3,452.4,425,456.4,502.3,528.5,552.8,537.1,513,515.8,503.5,482.3,469.6,463.2,480.2,529.5,554.3,566,561.6
CA,621.6,615.2,595.4,579.6,527.8,526,533.5,524.1,504.2,473.3,439.6,411.2,423.5,402.6,396.4,428,444.8,453.3,447.5
CO,334,349.6,352.9,346.5,372,396.7,395.4,351.8,353.9,338.8,323.7,314.4,307.4,305.4,307.8,318.4,344.1,372.2,401.5
CT,324.7,334.6,312.5,316.8,289,272.6,299.7,301.1,306.7,300.9,282,275.7,283.5,262.2,238.5,221.4,227.7,229.2,209.6
DE,684.4,611.1,600,675.3,615,633.4,701,705.4,708.6,645.4,623.3,566.4,550.5,500.7,488.1,504.2,510,457.3,422.5
FL,812,798.3,771.2,731.1,711.8,708.9,716.4,722.6,688.9,612.5,541.3,514.6,487,469.3,458.9,462.5,429.4,408.1,385.9
GA,504.7,495.7,459.6,454.5,451,445.9,477.9,491.5,488.9,428,402.3,374.6,380,375.4,385.8,381.3,390.4,356.5,338.9
HI,243.8,254,262.9,272.3,254.6,255.5,280.7,276.1,272.5,274.1,264.3,251.4,243,254.4,236.7,293.4,241.6,251.2,255
ID,252.5,243.1,254.6,245.9,247.4,256.8,250,256.2,241.5,246.2,220.5,202.2,209.8,215.2,210.4,217.4,230.7,239.2,239.7
IL,653.8,633.1,601.9,556.4,545.7,552.2,541.6,533.2,525.4,497.2,444.9,424,416.2,403.1,370.9,387.5,436.7,436.2,411.4
IN,349.1,371.1,357.3,352.3,325.9,324,321.6,335.8,337.6,334,323.3,331.8,344.8,359.6,365.3,383.7,399.7,395,373.5
IA,266.4,268.2,285.7,277.9,287.8,293.3,285.7,300.2,288.1,282.1,268.5,257.3,265.6,273,272.8,276.1,292.9,287.5,263.7
KS,389.4,403.7,377.2,397.5,377.9,389.4,432.7,458.6,412.3,406.6,370.8,355.7,356.7,342.8,352.6,395,401.2,400.4,441.8
KY,294.5,258.3,271.4,248.5,245.1,266.8,270.1,290.7,297.2,255,243.9,239.6,224.9,210.9,215.2,223.5,235.6,231.1,217.9
LA,681.1,686.3,663.3,636.9,640,596.6,721.2,740.4,671.4,642.9,555.3,554.6,496.3,521.2,515.9,539.8,565,556.3,543.3
