,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
LOCATION,tanf_total_2000,tanf_total_2001,tanf_total_2002,tanf_total_2003,tanf_total_2004,tanf_total_2005,tanf_total_2006,tanf_total_2007,tanf_total_2008,tanf_total_2009,tanf_total_2010,tanf_total_2011,tanf_total_2012,tanf_total_2013,tanf_total_2014,tanf_total_2015,tanf_total_2016,tanf_total_2017,tanf_total_2018,
US,24.2,22.8,21.3,20.6,19.7,14,16.4,15.4,14.9,16.1,14.1,13.9,12.7,11.6,10.6,9.2,8.3,3.3,3,
AL,12.2,12,11.7,12.5,12.5,9.8,11.6,11.4,10.5,11.5,11.2,11.7,10.5,9.5,7.9,6.2,5.1,1.9,1.7,
AK,40,33.5,33.1,28.1,25.5,14.1,17.1,16.2,13.8,14.7,13,14.1,13.9,12.9,12.6,11.3,11.2,4.2,3.7,
AZ,19.7,19.7,22.2,25.5,23.6,14.7,16.4,18.2,14.4,15.1,9.4,6.2,6.1,5.3,4.2,3.4,2.8,1.2,1,
AR,12.9,12.7,12.4,11.2,9.6,6.3,7.8,8.8,8,8.1,6.6,6.2,5.7,5.1,4.3,3.4,2.7,1.1,1,
CA,44.7,41.9,40.1,38.3,37.8,30.2,35.4,41.1,39.7,43.5,38.5,38.8,36.4,35,32.4,27.3,24.3,8.9,8,
CO,7.8,7.7,8.8,9.9,10.2,7.3,9,7.1,5.1,5.9,5.8,6.3,7.1,7.9,8.5,8.1,7.9,2.9,2.5,
CT,22.5,21.4,18.3,15.5,15,10,12.4,12.6,12.8,11.5,9.5,8.9,8.3,8,7.9,7.1,6,2.9,2.7,
DE,18.7,18.9,19.2,19.3,18.9,13.8,16,13.9,16.1,17.8,17.1,17.1,16.1,15,14,13.3,12.4,4.1,3.9,
FL,10.7,9.2,9,8.6,8.2,5.8,5.5,5.7,5.4,6.7,5.6,4.9,4.9,4.8,4.3,4.1,3.8,2.1,2, 
GA,18.4,17.8,18.8,19.1,16.3,9.3,7.2,6.4,4.8,4.7,3.9,3.8,3.6,3.4,2.8,2.5,2.4,1.1,1, 
HI,45.4,39.3,28.6,24.5,21.9,13.2,15.3,13.9,14.4,20.6,19,19.8,20.3,18.7,16.8,14.6,12,3.6,3.1, 
ID,2.2,2.1,2.3,2.9,3,2.3,2.4,2.2,1.8,1.6,1.7,1.8,1.8,1.7,1.7,1.6,1.7,1.1,1.2, 
IL,22.6,16.7,12,9,8.9,7.4,8.1,6.5,5.1,5.1,5.2,6.9,6.7,3.5,3.4,3.1,2.6,1,0.9, 
IN,20,24.6,28.4,27.6,25.6,18.8,22.7,21.8,15.8,18.9,13.3,8.9,4.9,3.6,3,2.6,2.4,1,0.9, 
IA,21.7,23.2,22.3,21.3,18.8,12.5,16.3,17.1,15.6,17,15,14.3,13.1,11.9,10.2,8.9,8.1,3,2.7, 
KS,14.1,15.4,16.7,18.5,20.2,14.2,19,16.1,13.2,15,13.4,12.9,8.9,6.7,5.6,4.7,4.1,1.5,1.4, 
KY,25.7,24.5,23.3,23.1,23.2,16.3,19.4,17.8,16.5,16.7,14.3,14.4,14,13.9,12.7,10.9,11,4.8,4.3, 
LA,19.1,17.7,16.4,15.6,11.4,8.3,6.9,6.5,6.1,6.2,5.2,5.2,4.4,3.4,2.7,2.6,2.9,1.2,1.2, 
ME,25.9,24.7,24.7,25.4,24.9,16.2,22.6,22.9,22,23,19.7,19.6,15.3,10.8,8.7,7.4,6,2.4,2.4, 
MD,16.1,15.5,14.3,13.6,13.3,8.7,9.6,9.6,9.8,11.7,10.3,10.5,9.7,8.8,8.3,8,8.5,3.1,2.9, 
MA,18.8,19.6,21.1,21.1,20.7,13.6,17.2,17.2,16.8,17.2,14.9,15.1,14.7,13.3,11.4,9.6,8.4,4.2,4, 
MI,23.9,24.4,24.2,25.1,26,19.1,25.4,22.8,19.9,19.8,18.1,16,10.2,7.9,6,4.9,3.9,1.4,1.2, 
MN,27.9,26.8,23.3,22.8,20.5,12.5,15.3,15.4,11,10.9,9.3,9.1,8.9,8.5,7.9,8,8.2,3.3,3.1, 
MS,14.4,16,18.3,19.6,17.4,10.5,10.9,9.8,9.4,9.8,8.5,8.4,7.8,6.8,5.7,4.4,3.8,1.7,1.4, 
MO,26.7,26.5,25,21.8,21.3,14.4,14.2,19.5,17.2,17,14.4,14.3,13.6,12.3,10.6,9.4,5.3,1.8,1.6, 
MT,17.2,20.1,22.7,22.5,18.4,10.6,11.9,10.6,9.8,11.1,9.5,8.6,7.9,7.3,7.2,6.9,7.6,4.1,3.6, 
NE,16.6,17.4,18.6,19.3,18.2,12.5,15.5,10.1,11.2,12.1,10,8.2,7.1,6.7,5.9,5.5,5.6,2.3,2.2, 
NV,9.9,12.2,15.9,13.1,10.3,5.9,6.1,10.4,8.5,10.4,10,10.1,9.7,10,11.4,9.4,8.3,3.2,3.1, 
NH,13.4,13.4,14,13.5,13.4,9.2,12.1,10,8.5,11,8.4,7.9,6.2,5.5,4.8,4.1,3.5,1.9,2.4, 
NJ,17.8,16,14.6,14.7,15.3,10.7,13.3,11.6,10.9,10.7,9.2,9.5,9.3,8.2,7.2,5.9,4.3,1.5,1.2, 
