,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
LOCATION,foreign_born_total_2000,foreign_born_total_2001,foreign_born_total_2002,foreign_born_total_2003,foreign_born_total_2004,foreign_born_total_2005,foreign_born_total_2006,foreign_born_total_2007,foreign_born_total_2008,foreign_born_total_2009,foreign_born_total_2010,foreign_born_total_2011,foreign_born_total_2012,foreign_born_total_2013,foreign_born_total_2014,foreign_born_total_2015,foreign_born_total_2016,foreign_born_total_2017,foreign_born_total_2018,
US,0.112,0.115,0.119,0.12,0.121,0.125,0.126,0.127,0.126,0.126,0.13,0.131,0.131,0.132,0.134,0.136,0.145,0.138,0.138,
AL,0.02,0.021,0.026,0.024,0.025,0.027,0.027,0.029,0.028,0.032,0.036,0.034,0.034,0.033,0.032,0.033,0.04,0.036,0.034,
AK,0.063,0.058,0.056,0.064,0.063,0.055,0.068,0.074,0.066,0.074,0.069,0.065,0.072,0.064,0.079,0.087,0.093,0.081,0.079,
AZ,0.13,0.132,0.134,0.143,0.146,0.149,0.152,0.159,0.146,0.142,0.136,0.136,0.137,0.135,0.139,0.135,0.147,0.135,0.136,
AR,0.027,0.028,0.029,0.031,0.037,0.039,0.04,0.042,0.038,0.04,0.046,0.043,0.043,0.046,0.049,0.049,0.05,0.048,0.049,
CA,0.265,0.264,0.272,0.268,0.27,0.276,0.274,0.277,0.271,0.272,0.275,0.274,0.273,0.272,0.273,0.276,0.284,0.272,0.272,
CO,0.087,0.093,0.099,0.098,0.098,0.103,0.103,0.101,0.103,0.099,0.099,0.098,0.1,0.097,0.101,0.099,0.11,0.1,0.1,
CT,0.109,0.122,0.122,0.115,0.117,0.124,0.128,0.129,0.133,0.131,0.133,0.134,0.137,0.14,0.139,0.145,0.154,0.148,0.147,
DE,0.058,0.064,0.061,0.062,0.076,0.074,0.08,0.072,0.08,0.084,0.078,0.087,0.088,0.082,0.086,0.095,0.105,0.099,0.094,
FL,0.168,0.179,0.179,0.18,0.181,0.187,0.191,0.19,0.188,0.19,0.197,0.196,0.197,0.197,0.202,0.204,0.218,0.211,0.213, 
GA,0.071,0.071,0.078,0.08,0.085,0.091,0.093,0.091,0.095,0.095,0.098,0.097,0.096,0.098,0.099,0.102,0.11,0.103,0.102, 
HI,0.185,0.178,0.188,0.179,0.192,0.182,0.175,0.177,0.186,0.181,0.188,0.193,0.188,0.18,0.179,0.184,0.208,0.189,0.191, 
ID,0.05,0.053,0.054,0.06,0.06,0.06,0.055,0.055,0.058,0.062,0.058,0.059,0.059,0.062,0.064,0.058,0.064,0.056,0.061, 
IL,0.124,0.135,0.132,0.134,0.133,0.138,0.139,0.138,0.139,0.135,0.138,0.14,0.139,0.141,0.138,0.143,0.145,0.144,0.143, 
IN,0.031,0.033,0.034,0.037,0.039,0.039,0.042,0.041,0.04,0.044,0.046,0.046,0.046,0.048,0.049,0.048,0.057,0.053,0.054, 
IA,0.031,0.031,0.034,0.034,0.031,0.035,0.04,0.039,0.038,0.038,0.046,0.043,0.043,0.051,0.05,0.046,0.058,0.05,0.058, 
KS,0.051,0.05,0.042,0.055,0.048,0.055,0.062,0.062,0.062,0.064,0.066,0.068,0.066,0.069,0.071,0.076,0.081,0.07,0.072, 
KY,0.02,0.018,0.021,0.023,0.024,0.025,0.026,0.026,0.028,0.03,0.034,0.033,0.031,0.035,0.036,0.037,0.039,0.039,0.038, 
LA,0.027,0.028,0.026,0.03,0.029,0.028,0.03,0.034,0.03,0.033,0.037,0.038,0.036,0.039,0.04,0.041,0.044,0.04,0.041, 
ME,0.029,0.03,0.03,0.031,0.031,0.03,0.028,0.035,0.031,0.034,0.036,0.034,0.034,0.033,0.037,0.032,0.049,0.037,0.037, 
MD,0.098,0.101,0.109,0.107,0.111,0.119,0.123,0.125,0.127,0.13,0.141,0.138,0.143,0.143,0.15,0.154,0.164,0.155,0.152, 
MA,0.122,0.123,0.132,0.139,0.138,0.147,0.142,0.142,0.145,0.145,0.15,0.151,0.152,0.159,0.158,0.163,0.176,0.17,0.175, 
MI,0.053,0.057,0.055,0.06,0.061,0.062,0.06,0.062,0.058,0.061,0.059,0.062,0.061,0.063,0.065,0.066,0.074,0.071,0.07, 
