,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
LOCATION,lowED_attainment_total_2000,lowED_attainment_total_2001,lowED_attainment_total_2002,lowED_attainment_total_2003,lowED_attainment_total_2004,lowED_attainment_total_2005,lowED_attainment_total_2006,lowED_attainment_total_2007,lowED_attainment_total_2008,lowED_attainment_total_2009,lowED_attainment_total_2010,lowED_attainment_total_2011,lowED_attainment_total_2012,lowED_attainment_total_2013,lowED_attainment_total_2014,lowED_attainment_total_2015,lowED_attainment_total_2016,lowED_attainment_total_2017,lowED_attainment_total_2018,
US,0.196,0.179,0.174,0.169,0.161,0.158,0.159,0.155,0.150,0.147,0.144,0.141,0.136,0.134,0.131,0.128,0.126,0.120,0.117,
AL,0.247,0.214,0.211,0.212,0.205,0.198,0.200,0.195,0.207,0.204,0.204,0.173,0.162,0.151,0.154,0.149,0.151,0.140,0.135,
AK,0.117,0.104,0.103,0.088,0.086,0.086,0.100,0.094,0.087,0.089,0.082,0.072,0.082,0.084,0.081,0.082,0.075,0.084,0.060,
AZ,0.190,0.197,0.180,0.165,0.164,0.161,0.164,0.166,0.146,0.147,0.132,0.143,0.142,0.142,0.138,0.140,0.132,0.129,0.124,
AR,0.247,0.228,0.200,0.202,0.198,0.193,0.194,0.185,0.211,0.201,0.199,0.163,0.149,0.155,0.144,0.145,0.142,0.133,0.127,
CA,0.232,0.219,0.210,0.199,0.196,0.199,0.199,0.197,0.161,0.157,0.156,0.189,0.186,0.183,0.179,0.178,0.176,0.166,0.161,
CO,0.131,0.132,0.134,0.119,0.126,0.116,0.119,0.110,0.099,0.093,0.090,0.098,0.096,0.095,0.095,0.086,0.086,0.083,0.078,
CT,0.160,0.145,0.145,0.124,0.110,0.121,0.119,0.118,0.111,0.111,0.111,0.110,0.101,0.103,0.099,0.099,0.093,0.095,0.092,
DE,0.174,0.150,0.151,0.140,0.144,0.149,0.142,0.130,0.152,0.143,0.153,0.127,0.117,0.119,0.109,0.107,0.103,0.093,0.104,
FL,0.201,0.177,0.169,0.161,0.154,0.154,0.153,0.150,0.155,0.155,0.154,0.141,0.136,0.132,0.128,0.124,0.126,0.116,0.115, 
GA,0.214,0.200,0.185,0.191,0.190,0.173,0.177,0.172,0.170,0.167,0.170,0.157,0.148,0.144,0.144,0.140,0.135,0.130,0.125, 
HI,0.154,0.140,0.129,0.122,0.128,0.118,0.110,0.104,0.088,0.087,0.095,0.095,0.100,0.090,0.086,0.090,0.077,0.083,0.083, 
ID,0.153,0.144,0.145,0.121,0.127,0.136,0.125,0.119,0.120,0.121,0.122,0.113,0.102,0.106,0.099,0.104,0.095,0.088,0.093, 
IL,0.186,0.170,0.160,0.147,0.148,0.140,0.150,0.142,0.131,0.128,0.126,0.127,0.123,0.121,0.116,0.116,0.113,0.110,0.106, 
IN,0.179,0.180,0.181,0.163,0.156,0.146,0.147,0.141,0.168,0.160,0.159,0.128,0.127,0.124,0.113,0.118,0.118,0.112,0.112, 
IA,0.139,0.116,0.119,0.111,0.105,0.105,0.112,0.104,0.104,0.097,0.098,0.090,0.079,0.084,0.078,0.080,0.084,0.080,0.078, 
KS,0.140,0.125,0.125,0.112,0.106,0.112,0.113,0.109,0.101,0.096,0.106,0.104,0.099,0.097,0.098,0.099,0.095,0.090,0.091, 
KY,0.259,0.239,0.236,0.213,0.224,0.207,0.203,0.198,0.203,0.198,0.189,0.169,0.165,0.161,0.155,0.150,0.145,0.135,0.129, 
LA,0.252,0.224,0.224,0.211,0.202,0.196,0.209,0.202,0.223,0.204,0.212,0.174,0.168,0.170,0.164,0.154,0.158,0.150,0.140, 
ME,0.146,0.148,0.138,0.117,0.117,0.108,0.111,0.106,0.111,0.110,0.108,0.092,0.079,0.079,0.078,0.081,0.075,0.073,0.072, 
MD,0.162,0.148,0.148,0.131,0.129,0.131,0.128,0.125,0.120,0.118,0.119,0.110,0.108,0.107,0.103,0.102,0.098,0.101,0.095, 
MA,0.152,0.126,0.127,0.122,0.118,0.120,0.120,0.116,0.111,0.107,0.104,0.109,0.103,0.099,0.104,0.096,0.095,0.092,0.092, 
MI,0.166,0.148,0.148,0.129,0.131,0.129,0.127,0.125,0.137,0.142,0.129,0.113,0.104,0.106,0.101,0.097,0.096,0.091,0.090, 
MN,0.121,0.109,0.102,0.092,0.093,0.092,0.093,0.089,0.083,0.088,0.085,0.079,0.076,0.078,0.074,0.073,0.071,0.070,0.066, 
MS,0.271,0.255,0.250,0.225,0.226,0.213,0.223,0.212,0.219,0.215,0.215,0.192,0.175,0.177,0.173,0.162,0.160,0.154,0.146, 
MO,0.187,0.169,0.159,0.146,0.136,0.149,0.151,0.143,0.153,0.147,0.150,0.123,0.122,0.110,0.112,0.111,0.103,0.104,0.097, 
MT,0.128,0.136,0.117,0.095,0.100,0.095,0.096,0.106,0.094,0.100,0.088,0.075,0.072,0.068,0.078,0.066,0.076,0.074,0.066, 
NE,0.134,0.110,0.104,0.104,0.105,0.104,0.103,0.099,0.094,0.103,0.091,0.089,0.092,0.094,0.095,0.090,0.092,0.086,0.082, 
NV,0.193,0.173,0.170,0.179,0.170,0.175,0.159,0.162,0.169,0.161,0.159,0.160,0.144,0.148,0.146,0.141,0.140,0.132,0.132, 
NH,0.126,0.130,0.123,0.106,0.117,0.105,0.104,0.094,0.097,0.093,0.090,0.082,0.080,0.074,0.074,0.067,0.070,0.068,0.071, 
NJ,0.179,0.152,0.146,0.147,0.138,0.137,0.141,0.130,0.123,0.122,0.116,0.120,0.116,0.116,0.110,0.109,0.108,0.098,0.099, 
NM,0.211,0.191,0.205,0.197,0.198,0.175,0.178,0.179,0.161,0.159,0.157,0.170,0.155,0.163,0.155,0.155,0.144,0.141,0.147, 
NY,0.209,0.180,0.180,0.168,0.162,0.157,0.159,0.160,0.154,0.151,0.148,0.149,0.146,0.146,0.142,0.141,0.137,0.134,0.128, 
NC,0.219,0.220,0.204,0.199,0.190,0.178,0.179,0.169,0.167,0.160,0.159,0.152,0.149,0.143,0.136,0.134,0.128,0.120,0.117, 
ND,0.161,0.133,0.131,0.116,0.121,0.121,0.122,0.112,0.079,0.075,0.079,0.092,0.082,0.081,0.071,0.068,0.088,0.069,0.074, 
OH,0.170,0.154,0.154,0.140,0.135,0.139,0.137,0.128,0.157,0.158,0.151,0.116,0.111,0.109,0.107,0.103,0.099,0.097,0.095, 
OK,0.194,0.195,0.204,0.167,0.166,0.155,0.159,0.151,0.162,0.161,0.158,0.139,0.134,0.133,0.125,0.126,0.121,0.119,0.115, 
OR,0.149,0.134,0.131,0.125,0.127,0.126,0.123,0.120,0.116,0.106,0.110,0.107,0.099,0.104,0.103,0.099,0.097,0.091,0.098, 
PA,0.181,0.165,0.154,0.144,0.142,0.134,0.137,0.133,0.160,0.152,0.148,0.113,0.111,0.108,0.105,0.104,0.101,0.095,0.089, 
RI,0.220,0.201,0.188,0.184,0.172,0.172,0.172,0.174,0.163,0.155,0.167,0.155,0.142,0.137,0.145,0.122,0.116,0.118,0.112, 
SC,0.237,0.192,0.198,0.185,0.186,0.183,0.185,0.180,0.185,0.179,0.179,0.158,0.151,0.146,0.140,0.135,0.134,0.124,0.119, 
SD,0.154,0.123,0.124,0.114,0.106,0.122,0.126,0.118,0.091,0.093,0.093,0.096,0.094,0.087,0.085,0.090,0.086,0.082,0.078, 
TN,0.241,0.223,0.209,0.188,0.193,0.189,0.192,0.184,0.185,0.185,0.183,0.158,0.149,0.144,0.142,0.139,0.131,0.123,0.122, 
TX,0.243,0.227,0.224,0.222,0.211,0.212,0.214,0.209,0.180,0.179,0.173,0.189,0.185,0.181,0.177,0.176,0.171,0.163,0.161, 
UT,0.123,0.107,0.099,0.100,0.108,0.095,0.096,0.096,0.099,0.100,0.095,0.093,0.087,0.084,0.085,0.084,0.081,0.079,0.073, 
VT,0.136,0.135,0.122,0.114,0.108,0.097,0.090,0.093,0.104,0.106,0.089,0.080,0.077,0.085,0.080,0.084,0.081,0.076,0.066, 
VA,0.185,0.168,0.161,0.155,0.151,0.146,0.147,0.141,0.135,0.130,0.130,0.122,0.119,0.117,0.114,0.110,0.109,0.104,0.100, 
WA,0.129,0.115,0.108,0.104,0.106,0.110,0.111,0.105,0.098,0.102,0.100,0.100,0.094,0.098,0.096,0.091,0.093,0.087,0.084, 
WV,0.248,0.243,0.212,0.218,0.206,0.186,0.190,0.192,0.221,0.223,0.216,0.161,0.161,0.154,0.144,0.138,0.138,0.130,0.119, 
WI,0.149,0.138,0.133,0.130,0.129,0.110,0.116,0.110,0.115,0.119,0.110,0.095,0.091,0.094,0.085,0.086,0.078,0.075,0.077, 
WY,0.121,0.115,0.098,0.096,0.093,0.085,0.100,0.085,0.098,0.095,0.069,0.076,0.085,0.064,0.078,0.068,0.068,0.069,0.073, 
,,,,,,,,,,,,,,,,,,,,
