,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
LOCATION,pop_poverty_total_2000,pop_poverty_total_2001,pop_poverty_total_2002,pop_poverty_total_2003,pop_poverty_total_2004,pop_poverty_total_2005,pop_poverty_total_2006,pop_poverty_total_2007,pop_poverty_total_2008,pop_poverty_total_2009,pop_poverty_total_2010,pop_poverty_total_2011,pop_poverty_total_2012,pop_poverty_total_2013,pop_poverty_total_2014,pop_poverty_total_2015,pop_poverty_total_2016,pop_poverty_total_2017,pop_poverty_total_2018,
US,0.172,0.178,0.18,0.185,0.189,0.191,0.181,0.177,0.18,0.195,0.209,0.216,0.215,0.213,0.208,0.199,0.19,0.183,0.176,
AL,0.224,0.25,0.241,0.239,0.238,0.248,0.232,0.232,0.223,0.244,0.259,0.263,0.259,0.259,0.258,0.253,0.234,0.234,0.231,
AK,0.133,0.111,0.121,0.151,0.118,0.143,0.138,0.119,0.104,0.114,0.131,0.135,0.146,0.124,0.159,0.151,0.132,0.146,0.143,
AZ,0.195,0.206,0.215,0.22,0.225,0.209,0.195,0.194,0.203,0.225,0.248,0.257,0.251,0.251,0.242,0.23,0.215,0.202,0.191,
AR,0.227,0.228,0.233,0.231,0.258,0.263,0.237,0.245,0.242,0.256,0.266,0.267,0.266,0.271,0.26,0.264,0.248,0.235,0.239,
CA,0.2,0.196,0.195,0.2,0.201,0.199,0.185,0.179,0.186,0.199,0.222,0.23,0.232,0.229,0.223,0.209,0.199,0.183,0.174,
CO,0.132,0.137,0.146,0.143,0.162,0.163,0.162,0.157,0.161,0.175,0.182,0.187,0.185,0.179,0.167,0.159,0.151,0.143,0.132,
CT,0.106,0.101,0.103,0.109,0.113,0.107,0.108,0.104,0.119,0.119,0.128,0.14,0.14,0.139,0.134,0.132,0.123,0.123,0.131,
DE,0.124,0.133,0.119,0.128,0.145,0.138,0.143,0.15,0.142,0.147,0.162,0.16,0.168,0.182,0.158,0.162,0.143,0.178,0.154,
FL,0.176,0.189,0.186,0.196,0.183,0.192,0.176,0.171,0.186,0.208,0.226,0.237,0.238,0.235,0.228,0.22,0.21,0.198,0.186, 
