"","X1","Year","Value","interpolated_value"
"1","Alabama",2000,55.4,55.4
"2","Alabama",2001,NA,55.76
"3","Alabama",2002,NA,56.12
"4","Alabama",2003,NA,56.48
"5","Alabama",2004,NA,56.84
"6","Alabama",2005,NA,57.2
"7","Alabama",2006,NA,57.56
"8","Alabama",2007,NA,57.92
"9","Alabama",2008,NA,58.28
"10","Alabama",2009,NA,58.64
"11","Alabama",2010,59,59
"12","Alabama",2011,NA,59.36
"13","Alabama",2012,NA,59.72
"14","Alabama",2013,NA,60.08
"15","Alabama",2014,NA,60.44
"16","Alabama",2015,NA,60.8
"17","Alabama",2016,NA,61.16
"18","Alabama",2017,NA,61.52
"19","Alabama",2018,NA,61.88
"20","Alaska",2000,65.6,65.6
"21","Alaska",2001,NA,65.64
"22","Alaska",2002,NA,65.68
"23","Alaska",2003,NA,65.72
"24","Alaska",2004,NA,65.76
"25","Alaska",2005,NA,65.8
"26","Alaska",2006,NA,65.84
"27","Alaska",2007,NA,65.88
"28","Alaska",2008,NA,65.92
"29","Alaska",2009,NA,65.96
"30","Alaska",2010,66,66
"31","Alaska",2011,NA,66.04
"32","Alaska",2012,NA,66.08
"33","Alaska",2013,NA,66.12
"34","Alaska",2014,NA,66.16
"35","Alaska",2015,NA,66.2
"36","Alaska",2016,NA,66.24
"37","Alaska",2017,NA,66.28
"38","Alaska",2018,NA,66.32
"39","Arizona",2000,88.2,88.2
"40","Arizona",2001,NA,88.36
"41","Arizona",2002,NA,88.52
"42","Arizona",2003,NA,88.68
"43","Arizona",2004,NA,88.84
"44","Arizona",2005,NA,89
"45","Arizona",2006,NA,89.16
"46","Arizona",2007,NA,89.32
"47","Arizona",2008,NA,89.48
"48","Arizona",2009,NA,89.64
"49","Arizona",2010,89.8,89.8
"50","Arizona",2011,NA,89.96
"51","Arizona",2012,NA,90.12
"52","Arizona",2013,NA,90.28
"53","Arizona",2014,NA,90.44
"54","Arizona",2015,NA,90.6
"55","Arizona",2016,NA,90.76
"56","Arizona",2017,NA,90.92
"57","Arizona",2018,NA,91.08
"58","Arkansas",2000,52.5,52.5
"59","Arkansas",2001,NA,52.87
"60","Arkansas",2002,NA,53.24
"61","Arkansas",2003,NA,53.61
"62","Arkansas",2004,NA,53.98
"63","Arkansas",2005,NA,54.35
"64","Arkansas",2006,NA,54.72
"65","Arkansas",2007,NA,55.09
"66","Arkansas",2008,NA,55.46
"67","Arkansas",2009,NA,55.83
"68","Arkansas",2010,56.2,56.2
"69","Arkansas",2011,NA,56.57
"70","Arkansas",2012,NA,56.94
"71","Arkansas",2013,NA,57.31
"72","Arkansas",2014,NA,57.68
"73","Arkansas",2015,NA,58.05
"74","Arkansas",2016,NA,58.42
"75","Arkansas",2017,NA,58.79
"76","Arkansas",2018,NA,59.16
"77","California",2000,94.4,94.4
"78","California",2001,NA,94.46
"79","California",2002,NA,94.52
"80","California",2003,NA,94.58
"81","California",2004,NA,94.64
"82","California",2005,NA,94.7
"83","California",2006,NA,94.76
"84","California",2007,NA,94.82
"85","California",2008,NA,94.88
"86","California",2009,NA,94.94
"87","California",2010,95,95
"88","California",2011,NA,95.06
"89","California",2012,NA,95.12
"90","California",2013,NA,95.18
"91","California",2014,NA,95.24
"92","California",2015,NA,95.3
"93","California",2016,NA,95.36
"94","California",2017,NA,95.42
"95","California",2018,NA,95.48
"96","Colorado",2000,84.5,84.5
"97","Colorado",2001,NA,84.67
"98","Colorado",2002,NA,84.84
"99","Colorado",2003,NA,85.01
"100","Colorado",2004,NA,85.18
"101","Colorado",2005,NA,85.35
"102","Colorado",2006,NA,85.52
"103","Colorado",2007,NA,85.69
"104","Colorado",2008,NA,85.86
"105","Colorado",2009,NA,86.03
"106","Colorado",2010,86.2,86.2
"107","Colorado",2011,NA,86.37
"108","Colorado",2012,NA,86.54
"109","Colorado",2013,NA,86.71
"110","Colorado",2014,NA,86.88
"111","Colorado",2015,NA,87.05
"112","Colorado",2016,NA,87.22
"113","Colorado",2017,NA,87.39
"114","Colorado",2018,NA,87.56
"115","Connecticut",2000,87.7,87.7
"116","Connecticut",2001,NA,87.73
"117","Connecticut",2002,NA,87.76
"118","Connecticut",2003,NA,87.79
"119","Connecticut",2004,NA,87.82
"120","Connecticut",2005,NA,87.85
"121","Connecticut",2006,NA,87.88
"122","Connecticut",2007,NA,87.91
"123","Connecticut",2008,NA,87.94
"124","Connecticut",2009,NA,87.97
"125","Connecticut",2010,88,88
"126","Connecticut",2011,NA,88.03
"127","Connecticut",2012,NA,88.06
"128","Connecticut",2013,NA,88.09
"129","Connecticut",2014,NA,88.12
"130","Connecticut",2015,NA,88.15
"131","Connecticut",2016,NA,88.18
"132","Connecticut",2017,NA,88.21
"133","Connecticut",2018,NA,88.24
"134","Delaware",2000,80.1,80.1
"135","Delaware",2001,NA,80.42
"136","Delaware",2002,NA,80.74
"137","Delaware",2003,NA,81.06
"138","Delaware",2004,NA,81.38
"139","Delaware",2005,NA,81.7
"140","Delaware",2006,NA,82.02
"141","Delaware",2007,NA,82.34
"142","Delaware",2008,NA,82.66
"143","Delaware",2009,NA,82.98
"144","Delaware",2010,83.3,83.3
"145","Delaware",2011,NA,83.62
"146","Delaware",2012,NA,83.94
"147","Delaware",2013,NA,84.26
"148","Delaware",2014,NA,84.58
"149","Delaware",2015,NA,84.9
"150","Delaware",2016,NA,85.22
"151","Delaware",2017,NA,85.54
"152","Delaware",2018,NA,85.86
"153","Florida",2000,89.3,89.3
"154","Florida",2001,NA,89.49
"155","Florida",2002,NA,89.68
"156","Florida",2003,NA,89.87
"157","Florida",2004,NA,90.06
"158","Florida",2005,NA,90.25
"159","Florida",2006,NA,90.44
"160","Florida",2007,NA,90.63
"161","Florida",2008,NA,90.82
"162","Florida",2009,NA,91.01
"163","Florida",2010,91.2,91.2
"164","Florida",2011,NA,91.39
"165","Florida",2012,NA,91.58
"166","Florida",2013,NA,91.77
"167","Florida",2014,NA,91.96
"168","Florida",2015,NA,92.15
"169","Florida",2016,NA,92.34
"170","Florida",2017,NA,92.53
"171","Florida",2018,NA,92.72
"172","Georgia",2000,71.6,71.6
"173","Georgia",2001,NA,71.95
"174","Georgia",2002,NA,72.3
"175","Georgia",2003,NA,72.65
"176","Georgia",2004,NA,73
"177","Georgia",2005,NA,73.35
"178","Georgia",2006,NA,73.7
"179","Georgia",2007,NA,74.05
"180","Georgia",2008,NA,74.4
"181","Georgia",2009,NA,74.75
"182","Georgia",2010,75.1,75.1
"183","Georgia",2011,NA,75.45
"184","Georgia",2012,NA,75.8
"185","Georgia",2013,NA,76.15
"186","Georgia",2014,NA,76.5
"187","Georgia",2015,NA,76.85
"188","Georgia",2016,NA,77.2
"189","Georgia",2017,NA,77.55
"190","Georgia",2018,NA,77.9
"191","Hawaii",2000,91.5,91.5
"192","Hawaii",2001,NA,91.54
"193","Hawaii",2002,NA,91.58
"194","Hawaii",2003,NA,91.62
"195","Hawaii",2004,NA,91.66
"196","Hawaii",2005,NA,91.7
"197","Hawaii",2006,NA,91.74
"198","Hawaii",2007,NA,91.78
"199","Hawaii",2008,NA,91.82
"200","Hawaii",2009,NA,91.86
